Id	Edat	Alt	Pes	Sexe	Tabac	Oci	
92	17	167	56	h	1	2	
93	18	190	55	h	1	2	
94	18	175	60	h	0	2	
95	18	167	76	h	0	2	
96	57	160	85	h	0	1	
97	29	186	92	h	0	2	
98	22	170	77	d	0	1	
99	13	167	57	h	0	4	
100	25	172	67	d	0	1	
101	18	173	59	h	0	4	
102	18	174	65	h	0	4	
103	19	176	68	h	0	2	
104	18	178	75	h	0	2	
105	18	170	62	h	0	3	
106	18	162	66	d	0	1	
107	18	179	63	h	0	2	
108	19	170	64	h	0	4	
109	18	162	56	d	0	3	
110	15	162	50	d	1	1	
111	18	180	65	h	0	2	
112	20	175	70	h	0	1	
113	17	168	63	d	0	2	
114	18	174	65	d	1	2	
115	18	185	59	d	1	4	
116	19	180	66	h	1	4	
117	19	182	67	h	1	2	
118	17	165	68	d	1	1	
119	45	167	80	h	0	1	
120	72	176	75	h	0	3	
121	17	165	60	d	0	2	
122	18	169	67	d	0	2	
123	18	182	65	d	0	4	
124	17	169	65	d	0	3	
125	18	168	60	d	0	3	
126	50	182	98	h	1	2	
127	49	165	71	d	0	3	
128	18	168	61	d	0	3	
129	19	173	72	h	1	2	
130	17	165	62	d	0	1	
131	20	171	70	d	1	3	
132	21	170	70	h	0	4	
133	22	165	60	d	0	4	
134	18	173	71	h	1	2	
135	21	180	80	h	0	4	
136	17	170	67	d	1	3	
137	23	175	77	h	1	1	
138	20	162	61	d	1	2	
139	18	162	63	d	0	3	
140	19	177	69	h	0	4	
141	18	163	53	d	0	2	
142	17	167	62	d	0	1	
143	18	170	52	d	1	2	
144	18	168	70	d	1	1	
145	19	175	70	d	0	2	
146	17	160	58	d	0	4	
147	17	166	70	d	0	2	
148	17	172	54	d	0	2	
149	19	175	56	d	0	2	
150	18	161	48	d	1	2	
151	18	177	68	h	1	3	
152	19	176	59	h	1	3	
153	17	193	85	h	0	3	
154	17	192	73	h	1	4	
155	19	180	80	h	0	3	
156	19	177	70	h	1	4	
157	17	176	68	h	0	4	
158	17	185	70	h	0	4	
159	19	175	70	h	1	4	
160	18	180	75	h	1	3	
161	46	170	72	h	0	4	
162	45	169	63	d	0	3	
163	15	167	65	d	0	2	
164	44	173	75	h	1	1	
165	43	165	70	d	1	3	
166	40	175	73	h	1	3	
167	18	185	72	h	0	4	
168	18	170	55	d	0	4	
169	18	188	75	h	0	3	
170	17	165	60	d	0	2	
171	18	167	56	d	0	3	
172	17	169	58	d	0	2	
173	23	185	85	h	1	1	
174	35	165	70	d	1	2	
175	18	172	71	h	1	1	
176	18	177	72	h	0	4	
177	23	180	75	h	0	4	
178	19	172	54	d	0	1	
179	18	159	53	d	0	3	
180	18	158	50	d	0	1	
181	18	169	64	d	1	4	
182	18	169	56	d	1	2	
183	18	172	54	d	1	4	
184	18	177	67	h	1	4	
185	17	171	73	h	1	4	
186	18	180	63	h	1	4	
187	17	161	62	d	0	3	
188	19	170	60	d	1	3	
189	19	175	63	d	1	4	
190	20	159	58	d	1	4	
191	20	169	67	d	0	3	
192	20	160	64	d	1	3	
193	18	158	59	d	1	2	
194	19	169	73	h	0	3	
195	19	175	60	h	1	4	
196	19	187	62	h	0	4	
197	18	173	73	h	1	2	
198	18	170	61	h	1	2	
199	18	172	70	h	1	3	
200	18	170	62	d	0	4	
201	20	189	80	h	1	3	
202	21	169	58	h	0	4	
203	17	171	59	h	0	1	
204	18	183	90	h	0	1	
205	67	167	62	h	0	3	
206	47	180	78	h	0	3	
207	37	170	78	h	0	3	
208	67	173	74	h	0	4	
209	18	176	73	h	0	3	
210	19	180	77	h	0	3	
211	17	173	60	h	0	2	
212	18	171	58	h	0	2	
213	18	173	59	h	0	4	
214	42	157	55	d	0	4	
215	21	165	46	d	0	2	
216	19	173	54	d	0	2	
217	53	157	67	d	0	3	
218	46	165	60	d	0	4	
219	35	160	55	d	0	3	
220	19	172	68	d	0	2	
221	18	173	70	h	1	4	
222	17	172	68	h	1	3	
223	17	180	73	h	0	3	
224	17	188	70	h	0	4	
225	18	170	70	h	0	2	
226	18	160	70	d	0	2	
227	21	165	60	d	0	2	
228	22	182	75	h	0	4	
229	21	172	72	h	0	2	
230	18	175	75	d	0	2	
231	18	178	59	h	0	4	
232	18	164	58	d	0	2	
233	14	169	50	h	0	4	
234	31	165	54	d	1	1	
235	19	180	70	h	0	4	
236	20	190	80	h	1	1	
237	19	170	60	d	0	2	
238	30	170	65	h	0	3	
239	22	173	67	d	1	1	
240	21	160	50	d	0	3	
241	19	172	55	d	0	4	
242	18	180	70	d	1	2	
243	18	167	60	d	1	1	
244	18	163	57	d	1	4	
245	19	171	65	d	0	2	
246	20	176	68	d	0	4	
247	17	164	56	d	1	4	
248	18	170	67	d	0	1	
249	16	157	54	d	0	2	
250	18	158	57	d	1	4	
251	19	161	60	d	1	1	
252	18	163	73	h	1	3	
253	21	171	78	h	0	4	
254	19	175	75	h	1	2	
255	20	183	70	h	0	4	
256	25	184	74	h	0	4	
257	19	176	67	h	1	1	
258	19	174	71	h	1	2	
259	18	169	71	h	0	1	
260	22	179	78	h	0	4	
261	18	170	64	d	0	4	
262	17	170	63	d	0	4	
263	18	171	58	d	0	4	
264	18	167	50	d	0	4	
265	18	160	50	d	0	3	
266	18	157	55	d	1	4	
267	24	177	56	d	0	1	
268	17	167	52	d	0	4	
269	18	166	49	d	0	3	
270	21	170	68	d	1	2	
271	18	181	70	h	0	3	
272	18	181	65	h	0	2	
273	18	192	78	h	1	3	
274	18	178	55	h	0	3	
275	18	170	63	h	0	3	
276	18	179	74	h	0	2	
277	17	180	68	h	0	3	
278	18	184	68	h	0	3	
279	25	186	77	h	1	3	
280	22	187	90	h	1	1	
281	18	167	51	d	0	2	
282	18	169	54	d	0	3	
283	18	166	56	d	0	3	
284	17	167	57	d	1	2	
285	17	163	48	d	0	1	
286	18	169	59	d	0	2	
287	18	164	53	d	1	2	
288	18	161	47	d	0	4	
289	18	165	52	d	1	2	
290	18	168	55	d	0	1	
291	20	170	61	h	1	1	
292	18	178	65	h	0	2	
293	18	182	67	h	0	4	
294	17	168	64	h	0	4	
295	17	169	70	h	1	1	
296	19	171	64	h	1	2	
297	20	178	66	h	1	2	
298	18	168	60	h	0	4	
299	19	171	65	h	0	1	
300	20	170	70	h	0	4	
301	21	169	54	h	0	2	
302	21	186	72	h	1	2	
303	18	161	52	d	0	1	
304	20	166	58	d	1	1	
305	18	165	51	d	0	3	
306	18	177	61	h	1	2	
307	28	170	62	d	0	3	
308	18	175	64	d	0	2	
309	18	165	62	d	0	1	
310	25	155	52	d	1	3	
311	21	177	72	h	1	2	
312	23	172	55	h	1	2	
313	28	163	52	d	1	3	
314	28	160	50	d	1	1	
315	20	158	59	h	1	4	
316	21	179	71	h	1	3	
317	23	175	70	h	1	2	
318	21	161	60	d	0	3	
319	18	162	45	d	0	3	
320	18	170	65	d	0	2	
321	17	169	50	d	0	4	
322	26	184	70	h	1	3	
323	18	175	58	d	1	3	
324	22	168	75	d	0	1	
325	35	172	80	h	1	1	
326	18	169	60	d	1	3	
327	20	160	57	d	1	4	
328	17	170	66	h	0	2	
329	24	179	81	h	0	1	
330	32	175	64	d	1	3	
331	26	173	60	d	0	3	
332	37	183	70	h	0	4	
333	24	180	72	h	1	2	
334	58	175	62	h	0	3	
335	17	183	60	h	0	4	
336	21	191	75	h	0	4	
337	16	181	72	h	0	1	
338	17	178	65	h	0	4	
339	32	172	60	d	0	1	
340	37	170	55	d	0	2	
341	19	156	63	d	0	3	
342	67	165	80	d	0	1	
343	18	153	41	d	0	3	
344	18	180	60	h	0	4	
345	15	153	50	d	0	4	
346	44	167	63	d	0	3	
347	18	169	70	h	0	2	
348	16	165	58	d	0	2	
349	43	169	65	d	0	3	
350	17	167	56	h	1	2	
351	19	164	53	d	1	3	
352	18	190	75	h	1	2	
353	18	167	76	h	0	2	
354	27	170	80	h	1	4	
355	18	165	56	d	0	3	
356	18	173	58	h	0	4	
357	19	170	75	h	0	1	
358	18	162	50	d	0	4	
359	19	160	65	d	1	2	
360	18	164	56	d	0	2	
361	18	175	52	d	0	1	
362	18	166	60	d	0	3	
363	22	165	55	d	0	2	
364	48	160	48	d	0	3	
365	18	164	58	d	0	2	
366	19	175	58	d	0	1	
367	17	180	65	h	0	4	
368	18	192	72	h	1	3	
369	18	162	55	d	0	3	
370	49	180	83	h	1	4	
371	18	170	59	d	0	2	
372	18	176	64	d	0	2	
373	18	178	62	d	1	2	
374	18	166	56	d	0	1	
375	18	171	54	d	1	2	
376	18	169	63	d	1	4	
377	18	168	52	d	1	2	
378	18	172	59	d	1	2	
379	20	168	56	d	0	4	
380	18	163	53	d	1	4	
381	28	185	84	h	1	1	
382	30	161	62	d	1	3	
383	28	180	100	h	1	1	
384	27	182	70	h	1	1	
385	26	162	68	d	1	1	
386	33	168	65	h	1	1	
387	31	169	64	d	0	1	
388	27	180	82	h	1	3	
389	38	164	54	d	1	3	
390	28	162	57	d	1	2	
391	26	163	60	d	1	2	
392	28	169	67	h	1	4	
393	29	183	80	h	0	4	
394	31	196	101	h	0	2	
395	26	169	73	h	1	3	
396	27	170	67	d	0	1	
397	25	179	70	h	1	1	
398	31	160	58	d	0	3	
399	30	163	60	d	0	4	
400	28	172	78	h	1	2	
401	18	169	60	d	0	2	
402	52	164	58	d	0	3	
403	12	154	40	d	0	1	
404	78	156	54	d	0	3	
405	53	173	90	h	0	1	
406	18	172	65	d	1	2	
407	33	190	77	h	0	4	
408	19	172	57	d	1	2	
409	82	163	68	d	0	3	
410	18	168	63	d	0	3	
411	50	186	75	h	0	4	
412	18	165	60	d	0	3	
413	18	180	75	h	0	2	
414	18	162	51	d	0	2	
415	18	170	60	h	1	4	
416	17	180	73	h	0	4	
417	17	175	63	h	1	2	
418	18	168	62	d	0	2	
419	18	169	65	h	1	1	
420	98	168	77	h	0	1	
421	17	186	74	h	0	4	
422	18	170	58	d	0	2	
423	18	183	72,5	h	1	2	
424	19	163	54	d	1	4	
425	19	168	57,5	d	0	2	
426	20	171	61	d	0	4	
427	18	178	73	h	1	3	
428	21	165	62	d	0	2	
429	20	173	55	d	0	4	
430	20	168,5	70	h	0	4	
431	49	170	75	d	0	3	
432	53	174	81	h	1	1	
433	18	184	75	h	0	4	
434	19	168	53	d	1	3	
435	19	179	73	h	1	1	
436	20	168	55	d	1	4	
437	22	167	57	d	1	4	
438	20	165	58	d	0	3	
439	21	166	55,5	d	0	2	
440	17	163	53	d	1	2	
441	18	189	74	h	0	4	
442	46	169	75	d	0	1	
443	46	182	100	h	0	1	
444	17	174	65	d	0	2	
445	22	158	68	d	1	1	
446	20	170	60	h	1	2	
447	50	169	80	h	0	1	
448	36	170	60	d	1	1	
449	20	187	78	h	0	4	
450	17	170	87	h	1	1	
451	18	163	88	d	0	3	
452	18	170	55	h	0	3	
453	23	169	60	h	0	4	
454	25	155	50	d	1	2	
455	22	178	80	h	1	2	
456	21	189	78	h	0	4	
457	19	192	80	h	0	4	
458	38	171	89	h	1	1	
459	40	181	100	h	1	1	
460	40	160	70	d	0	1	
461	22	163	67	d	0	3	
462	40	165	70	d	1	3	
463	24	175	75	h	1	2	
464	32	172	73	h	1	4	
465	29	176	68	h	1	4	
466	25	162	63	d	0	1	
467	97	169	74	h	0	4	
468	22	170	58	d	1	3	
469	21	162	58	d	1	4	
470	33	174	80	h	0	1	
471	22	173	69	h	0	2	
472	55	180	80	h	0	2	
473	54	175	75	h	1	1	
474	19	162	83	d	0	1	
475	23	173	89	h	1	4	
476	26	175	73	d	1	3	
477	30	158	65	d	1	3	
478	22	165	73	d	1	4	
479	24	169	78	h	0	3	
480	43	160	83	d	0	1	
481	20	190	78	h	0	4	
482	20	180	68	h	0	4	
483	19	170	60	h	0	1	
484	19	165	75	h	0	3	
485	18	165	62	h	0	2	
486	20	185	79	h	1	4	
487	20	170	60	h	0	4	
488	19	198	80	h	0	3	
489	19	167	65	h	0	3	
490	20	187	77	h	0	4	
491	21	165	57	d	0	3	
492	20	162	53	d	0	1	
493	19	162	56	d	0	2	
494	18	163	50	d	0	3	
495	19	167	55	d	0	3	
496	19	165	54	d	0	1	
497	19	166	52	d	0	1	
498	19	157	50	d	0	3	
499	18	169	54	d	0	4	
500	19	163	48	d	0	3	
501	18	170	54	d	0	4	
502	18	169	64	d	1	4	
503	49	180	80	h	0	4	
504	48	175	64	d	0	4	
505	24	150	60	d	1	3	
506	70	185	82	h	1	3	
507	18	172	52	d	1	2	
508	21	178	65	h	0	4	
509	19	180	68	h	0	4	
510	20	176	64	h	1	4	
511	34	172	68	d	0	3	
512	18	175	57	d	0	3	
513	22	180	60	d	1	4	
514	17	171	50	d	0	3	
515	19	172	56	d	1	2	
516	20	185	75	h	0	4	
517	27	187	78	h	1	4	
518	28	190	78	h	0	4	
519	53	177	60	d	0	3	
520	45	175	62	d	1	3	
521	17	157	70,5	d	0	4	
522	18	185	70	h	0	3	
523	18	180	68	h	0	2	
524	18	170	70	d	1	3	
525	18	185	77	h	0	4	
526	18	180	77	h	0	4	
527	18	181	69	h	0	4	
528	18	165	51	d	1	3	
529	20	172	85	h	0	2	
530	17	166	65	d	1	3	
531	17	172	78	h	0	4	
532	17	161	85	d	0	3	
533	18	164	75	d	1	3	
534	18	165	70	d	0	2	
535	17	182	71	h	0	4	
536	18	163	58	d	0	2	
537	21	150	68	d	0	4	
538	23	152	72	h	0	1	
539	18	170	65	h	0	4	
540	18	165	46	d	1	2	
541	17	186	74	h	0	4	
542	18	183	75	h	1	2	
543	18	175	64	h	0	3	
544	18	177	68	h	0	3	
545	18	169	55	d	0	2	
546	18	173	62	h	0	4	
547	18	190	82	h	0	4	
548	18	165	48	d	0	2	
549	18	162	47	d	0	4	
550	18	182	80	h	1	3	
551	18	177	73	h	0	4	
552	18	181	66	d	0	4	
553	18	185	72	h	0	4	
554	18	167	55	h	0	2	
555	18	193	98	h	0	1	
556	18	192	89	h	1	4	
557	18	170	54	d	0	2	
558	18	162	49	d	1	2	
559	15	181	72	d	0	2	
560	17	168	54	d	0	3	
561	18	165	56	d	0	3	
562	55	190	93	h	1	3	
563	53	171	67	h	1	2	
564	52	162	50	d	1	1	
565	17	165	50	h	0	1	
566	19	165	62	d	0	3	
567	17	154	57	d	0	3	
568	17	152	57	d	0	3	
569	17	165	90	d	0	4	
570	18	185	75	h	0	3	
571	19	165	57	d	0	1	
572	18	183	80	h	0	3	
573	18	183	82	h	0	4	
574	19	170	72	d	1	3	
575	16	165	48	d	0	3	
576	18	165	62	d	0	3	
577	18	167	57	d	0	3	
578	18	187	87	h	0	2	
579	18	166	55	d	0	1	
580	17	176	56	d	0	3	
581	21	168	70	d	0	1	
582	19	168	59	d	1	4	
583	22	161	55	d	0	3	
584	21	171	50	d	0	3	
585	21	156	55	d	0	3	
586	22	170	54	d	1	3	
587	30	166	80	d	1	1	
588	54	160	75	h	0	4	
589	22	185	73	h	0	4	
590	43	183	74	h	0	4	
591	33	168	70	d	1	1	
592	28	162	62	d	1	2	
593	47	174	85	h	1	4	
594	25	175	70	h	0	2	
595	21	157	50	d	1	4	
596	24	170	80	h	1	4	
597	35	165	75	d	1	3	
598	22	163	62	h	0	3	
599	23	169	73	h	0	2	
600	27	175	65	h	0	2	
601	18	170	72	d	0	3	
602	18	157	42	d	0	3	
603	18	170	59	d	0	3	
604	18	156	46	d	0	3	
605	18	190	93	h	0	4	
606	18	170	55	d	0	3	
607	49	167	69	h	0	2	
608	47	159	73	d	0	1	
609	24	179	90	h	0	2	
610	49	149	60	d	0	3	
611	49	172	95	h	1	1	
612	14	150	55	d	0	2	
613	18	165	60	d	0	2	
614	18	165	65	d	0	4	
615	47	175	70	h	0	1	
616	18	187	90	h	1	1	
617	17	166	58	h	1	2	
618	19	161	55	d	1	2	
619	18	196	92	h	1	1	
620	37	168	69	d	1	4	
621	18	163	53	d	0	4	
622	22	170	65	h	1	2	
623	17	152	49	d	0	2	
624	17	170	60	d	1	4	
625	18	165	58	h	1	3	
626	17	168	60	h	1	2	
627	18	183	70	d	1	2	
628	18	168	63	d	1	3	
629	17	170	62	h	0	4	
630	18	176	70	h	0	3	
631	18	195	78	h	0	4	
632	18	166	59	h	1	2	
633	18	166	57	d	1	2	
634	19	164	58	d	0	3	
635	18	169	63	d	0	1	
636	17	166	59	d	0	3	
637	23	176	80	h	1	3	
638	17	162	66	d	1	2	
639	21	165	60	d	0	2	
640	18	179	84	h	0	4	
641	19	159	42	d	0	3	
642	18	167	60	d	0	3	
643	18	167	50	d	1	3	
644	22	161	56	d	1	3	
645	48	162	59	d	0	3	
646	16	170	62	d	0	4	
647	18	160	47	d	0	2	
648	52	182	122	h	0	3	
649	26	177	70	h	0	4	
650	18	174	55	h	0	4	
651	18	165	55	d	0	3	
652	18	178	67	h	0	4	
653	20	169	63	d	0	2	
654	21	164	80	h	0	4	
655	17	162	52	d	1	3	
656	17	170	60	h	0	4	
657	14	186	67	h	0	2	
658	22	172	55	h	1	4	
659	26	176	65	h	0	4	
660	17	190	80	h	1	2	
661	20	168	54	d	0	3	
662	20	156	50	d	0	3	
663	17	169	60	d	0	3	
664	51	166	65	d	1	3	
665	19	167	55	d	0	2	
666	22	168	56	d	0	2	
667	26	167	60	d	0	1	
668	40	164	60	d	0	3	
669	24	165	58	d	0	2	
670	20	158	53	d	0	3	
671	20	170	56	d	0	1	
672	19	183	70	h	0	3	
673	21	173	72	h	0	2	
674	52	186	97	h	1	4	
675	20	183	90	h	1	4	
676	17	187	74	h	0	4	
677	20	184	72	h	1	1	
678	25	186	78	h	1	4	
679	24	183	73	h	1	1	
680	26	170	67	h	0	3	
681	16	170	60	d	0	3	
682	16	170	61	d	1	1	
683	17	170	75	d	1	2	
684	15	175	55	d	0	4	
685	49	170	90	d	0	3	
686	54	175	75	h	0	2	
687	18	164	58	d	0	3	
688	18	163	59	d	0	3	
689	18	164	52	d	0	3	
690	18	175	57	d	0	3	
691	18	172	61	d	1	4	
692	18	178	65	h	1	3	
693	18	168	55	d	1	2	
694	18	172	63	h	1	2	
695	18	160	56	d	0	1	
696	18	161	59	h	0	4	
697	18	167	58	h	0	1	
698	18	157	57	h	0	3	
699	18	160	58	d	0	2	
700	18	192	90	h	0	1	
701	21	162	50	d	0	3	
702	24	166	56	d	0	3	
703	18	166	57	d	0	2	
704	18	160	58	d	0	4	
705	18	158	60	d	0	2	
706	18	178	75	d	0	3	
707	18	177	70	h	0	4	
708	20	180	62	h	0	4	
709	18	177	81	h	0	4	
710	28	185	85	h	1	1	
711	18	183	76	h	0	4	
712	18	175	57	d	0	4	
713	18	164	57	d	0	3	
714	18	163	59	d	0	3	
715	17	187	85	d	1	1	
716	18	164	52	d	0	3	
717	18	170	48	d	1	4	
718	18	159	54	d	0	4	
719	18	176	59	d	1	1	
720	19	162	61	d	0	2	
721	18	162	55	d	0	2	
722	18	173	60	h	1	2	
723	17	164	60	d	0	2	
724	18	163	51	d	0	1	
725	21	168	68	h	0	2	
726	23	178	70	h	0	4	
727	18	166	53	d	0	1	
728	18	171	55	d	0	3	
729	18	168	60	h	0	2	
730	18	165	52	d	0	2	
731	27	176	72	h	0	3	
732	18	160	47	d	1	4	
733	18	169	57	d	0	2	
734	18	174	54	h	0	3	
735	50	168	66	d	0	3	
736	50	170	80	h	1	1	
737	24	175	65	h	0	2	
738	23	170	68	d	0	3	
739	18	168	53	d	0	3	
740	19	167	56	h	0	2	
741	22	180	67	h	1	4	
742	20	178	67	h	0	2	
743	51	176	98	h	1	1	
744	49	165	57	d	0	3	
745	48	178	63	h	1	3	
746	48	161	55	d	0	3	
747	17	180	80	h	0	4	
748	17	171	56	d	0	2	
749	17	172	61	h	0	2	
750	17	176	88	h	0	4	
751	17	159	47	d	0	2	
752	17	179	75	h	1	4	
753	51	158	57	d	0	2	
754	41	168	70	d	0	3	
755	7	123	19	d	0	2	
756	76	150	46	d	0	3	
757	78	168	65	h	0	1	
758	44	182	77	h	0	2	
759	11	148	32	d	0	2	
760	19	185	70	h	1	2	
761	18	176	66	h	0	4	
762	46	184	80	h	0	2	
763	47	160	54	d	0	4	
764	15	172	58	d	0	2	
765	18	180	90	h	0	4	
766	13	170	60	h	0	2	
767	18	163	51	d	0	4	
768	17	171	50	h	1	4	
769	18	171	61	h	0	3	
770	18	190	83	h	1	4	
771	18	180	66	h	0	4	
772	15	184	65	h	0	4	
773	75	160	52	h	0	3	
774	70	153	49	d	0	3	
775	18	182	74	h	0	2	
776	17	182	68	h	0	4	
777	18	170	53	h	0	2	
778	18	190	88	h	1	3	
779	18	183	70	h	0	4	
780	17	173	60	d	1	2	
781	18	156	46	d	0	3	
782	49	163	58	d	1	3	
783	17	171	48	d	0	2	
784	18	163	57	d	0	3	
785	39	163	57	d	1	3	
786	17	184	70	h	1	3	
787	18	168	70	d	0	3	
788	50	169	69	h	0	3	
789	19	183	80	h	1	2	
790	18	181	73	h	1	2	
791	18	176	71	h	0	2	
792	18	188	80	h	0	4	
793	48	170	74	d	1	3	
794	18	157	42	d	0	3	
795	18	162	50	d	0	4	
796	18	170	59	d	0	3	
797	18	168	65	d	0	3	
798	18	160	51	d	1	2	
799	18	168	65	h	0	4	
800	18	169	79	h	0	3	
801	18	162	60	d	0	3	
802	18	165	63	d	1	2	
803	18	170	55	d	0	1	
804	21	175	57	d	0	1	
805	18	160	53	d	0	4	
806	18	160	71	d	0	3	
807	18	171	73	h	1	1	
808	19	182	80	h	0	2	
809	22	163	62	d	1	1	
810	19	184	77	h	0	2	
811	19	184	83	h	0	1	
812	19	179	85	h	1	3	
813	18	160	55	d	1	4	
814	17	163	53	d	0	4	
815	21	170	57	d	1	3	
816	18	171	55	d	1	1	
817	18	165	56	d	1	2	
818	18	170	79	h	1	1	
819	18	180	67	h	0	4	
820	19	164	60	h	0	4	
821	18	162	67,3	d	0	3	
822	17	163	58,7	d	0	3	
823	17	163	55,2	d	0	3	
824	21	164	53	d	1	3	
825	18	165	68,2	d	0	2	
826	17	163	54,5	d	0	3	
827	25	161	58	d	1	2	
828	17	165	54,9	d	0	3	
829	19	171	70,2	h	1	3	
830	19	169	61,5	h	0	3	
831	18	177	69,8	h	0	3	
832	18	168	65,1	h	0	3	
833	17	169	62,2	h	0	3	
834	17	169	60,5	h	0	3	
835	29	168	56	h	0	2	
836	29	174	68,7	h	0	3	
837	18	175	71,4	h	1	3	
838	18	176	72,4	h	0	4	
839	20	168	69,8	h	0	3	
840	17	164	64,3	h	0	2	
841	18	169	60	d	0	3	
842	18	174	65	h	0	4	
843	19	170	60	h	0	3	
844	19	181	60	h	0	3	
845	20	168	65	h	0	2	
846	24	180	70	h	0	4	
847	18	168	60	d	0	3	
848	18	176	62	h	0	2	
849	19	165	54	d	0	3	
850	16	167	57	d	0	1	
851	17	170	56	d	0	3	
852	15	171	62	d	0	2	
853	17	164	59	d	0	2	
854	18	164	60	d	0	4	
855	17	181	66	h	0	3	
856	18	180	65	h	0	4	
857	17	178	62	h	0	3	
858	19	160	60	h	1	3	
859	16	167	55	d	0	2	
860	17	173	56	d	0	3	
861	18	161	61	d	0	4	
862	29	155	68	d	0	3	
863	40	165	83	d	1	3	
864	43	165	85	d	0	1	
865	18	165	68	d	0	3	
866	18	170	59	d	0	4	
867	18	160	50	d	0	4	
868	15	151	53	d	0	3	
869	17	161	62	d	0	3	
870	61	165	68	d	0	3	
871	62	150	59	d	0	3	
872	59	173	85	h	0	4	
873	30	180	73	h	0	3	
874	30	154	70	h	0	1	
875	83	170	70	h	0	3	
876	50	165	72	h	0	3	
877	60	173	72	h	0	2	
878	41	180	90	h	1	3	
879	52	171	73	h	1	2	
880	52	178	150	h	0	2	
881	21	168	68	d	0	1	
882	19	170	55	d	1	4	
883	22	170	60	d	0	3	
884	21	175	63	d	1	3	
885	21	155	51	d	0	3	
886	22	171	55	d	1	3	
887	30	165	62	d	1	1	
888	54	162	78	h	0	4	
889	22	183	74	h	0	4	
890	43	183	80	h	0	4	
891	33	170	72	d	1	1	
892	28	160	60	d	1	3	
893	47	174	90	d	1	1	
894	20	158	52	h	1	4	
895	24	171	62	h	0	4	
896	55	175	83	d	1	3	
897	52	150	49	d	1	3	
898	21	163	63	h	1	2	
899	22	170	62	h	1	4	
900	90	179	69	h	0	4	
901	43	168	74	d	0	3	
902	17	170	68	d	0	2	
903	69	158	64	d	0	3	
904	18	170	71	d	1	2	
905	17	160	68	d	1	2	
906	18	170	50	d	1	4	
907	17	170	70	d	0	2	
908	18	160	64	d	0	3	
909	23	180	70	d	0	4	
910	30	190	85	d	0	2	
911	19	190	75	h	0	1	
912	22	160	55	h	0	2	
913	20	172	50	h	0	2	
914	24	172	60	h	1	3	
915	21	180	70	h	0	3	
916	20	190	80	h	0	4	
917	19	178	90	h	0	2	
918	73	162	87	h	0	2	
919	17	162	59	h	0	2	
920	45	170	80	h	0	1	
921	18	170	50	d	0	3	
922	18	163	55	d	0	4	
923	18	180	70	h	1	2	
924	18	168	49	d	1	3	
925	17	172	50	d	1	3	
926	53	183	98	h	1	3	
