"id","sitlab","ecivil","edadboda","hermanos","hijos","edad","mesnaz","zodiaco","educ","titestud","titpadre","titmadre","sexo","raza","ingfam91","ingper91","región","dimhabit","tamaño","partido","voto92","tendpol","penacap","leyarmas","legdroga","relig","vida","hijosidl","píldora","educsex","cachete","eutan","periódic","horastv","banda","country","counwest","blues","musical","clásica","folk","jazz","opera","rap","hvymetal","deportes","museos","telenov","telenoti","espectv","ciencias","amantes","frecsex","casaprop","indsocec","cohorte","ingreso4","titestu2","edadcat4","política","región4","casado2","clasica3","jazz3","rap3","blues3"
"11",11,"A tiempo completo","Soltero",NA,1,"0",29,"Abril","Tauro",18,"Licenciado","Elemental","Elemental","Mujer","Blanca","$30000-34999","$30000-34999","Atlántico central","Ciudad > 250000",7072,"Demócrata","No ha votado","Decididamente liberal","En Contra",NA,"En Contra","Ninguna",NA,"3","Completamenete de Acuerdo","A Favor","Completamente en Desacuerdo","Sí","Nunca",2,NA,NA,"Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta","Me gusta a ratos","Me disgusta","Me gusta a ratos","Me gusta a ratos","Sí","Sí","Varios días a la semana","Diariamente","Varios días a la semana","Probablemente cierto","4 Compañeros","Una vez a la semana","En alquiler","82,7",1964,"25,000 - 39,999","Bachiller","18-29","Liberal","Nor-Este","No","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos"
"12",12,"A tiempo completo","Soltero",NA,0,"0",23,"Octubre","Escorpio",15,"Medio",NA,"Bachillerato","Mujer","Blanca","$40000-49999","$3000-3999","Atlántico central","Ciudad > 250000",7072,"Demócrata","Ha votado","Liberal","A Favor","A Favor","En Contra","Protestante","Rutinaria",NA,NA,NA,NA,NA,NA,4,"No me gusta","Me gusta","Me gusta a ratos","Me gusta mucho","Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta","Me gusta a ratos","Me gusta mucho","Me gusta a ratos","No","Sí","Varios días a la semana","Diariamente","Varios días al mes","Completamente cierto","1 Compañero","Una o dos veces",NA,"26,4",1970,"40,000 - 59,999","Sin Bachillerato","18-29","Liberal","Nor-Este","No","Me gusta a ratos","Me gusta","Me gusta","Me gusta"
"13",13,"A tiempo completo","Casado",31,0,"1",61,NA,NA,12,"Medio","Medio","Medio","Mujer","Blanca","$22500-24999","$8000-9999","Atlántico central","Ciudad > 250000",7072,"Demócrata","No elegible","Liberal","En Contra",NA,"A Favor","Protestante",NA,"1","Completamenete de Acuerdo","A Favor","De Acuerdo","Sí","Nunca",3,NA,"Me disgusta","Me gusta mucho","No me gusta","Me gusta a ratos","Me gusta","Me gusta a ratos","No me gusta","Me disgusta","Me disgusta","Me disgusta","No","Sí","Diariamente","Diariamente","Varios días a la semana",NA,NA,NA,"En alquiler","63,2",1932,"24,999 o menos","Sin Bachillerato","50+","Liberal","Nor-Este","Sí","Me gusta","Me disgusta","Me disgusta","Me disgusta"
"14",14,"Retirado","Separado",24,3,"4",63,"Marzo","Aries",4,"Elemental",NA,"Elemental","Mujer","Otra","$5000-5999",NA,"Atlántico central","Ciudad > 250000",7072,"Demócrata","Ha votado","Moderado",NA,"A Favor","En Contra","Católico","Aburrida",NA,NA,NA,NA,NA,NA,6,"Me gusta a ratos",NA,"Me disgusta","No me gusta","No me gusta","Me disgusta","Me gusta a ratos","Me gusta a ratos","Me disgusta","Me disgusta","Me disgusta","No","No","Diariamente","Varios días al mes","Nunca","Completamente falso","Ninguno","Ninguna",NA,NA,1930,"24,999 o menos","Sin Bachillerato","50+","Moderado","Nor-Este","No","Me disgusta","Me gusta a ratos","Me disgusta","Me disgusta"
"15",15,"Desempleado, despedido","Soltero",NA,4,"3",33,"Marzo","Piscis",10,"Elemental",NA,NA,"Mujer","Otra","$10000-12499","$10000-12499","Atlántico central","Ciudad > 250000",7072,"Independiente","No ha votado","Conservador","A Favor","A Favor",NA,"Católico","Excitante","Tantos como se quiera",NA,"A Favor","De Acuerdo",NA,"Varios días a la semana",4,"Me disgusta","Me disgusta","Me gusta a ratos","Me gusta a ratos","Me disgusta","Me disgusta","Me disgusta","Me gusta mucho","Me disgusta","Me gusta a ratos","Me disgusta","No","No","Diariamente","Varios días al mes","Nunca","Completamente falso","1 Compañero","2-3 veces al mes","En alquiler","31,4",1960,"24,999 o menos","Sin Bachillerato","30-39","Conservador","Nor-Este","No","Me disgusta","Me gusta","Me gusta a ratos","Me gusta a ratos"
"16",16,"A tiempo completo","Soltero",NA,0,"1",36,"Noviembre","Escorpio",14,"Medio",NA,"Medio","Mujer","Negra","$12500-14999","$12500-14999","Atlántico central","Ciudad > 250000",7072,"Demócrata","Rehusa","Ligeramente liberal","En Contra",NA,NA,"Protestante",NA,"1","De Acuerdo","A Favor","Completamenete de Acuerdo","No","Varios días a la semana",2,"No me gusta","No me gusta","Me gusta a ratos","Me gusta","No me gusta","Me disgusta","Me disgusta","Me gusta mucho","Me disgusta","Me gusta","Me disgusta","No","No","Varios días a la semana","Varios días a la semana","Raramente",NA,"1 Compañero","4+ veces a la semana","En alquiler","31,1",1957,"24,999 o menos","Sin Bachillerato","30-39","Tendencia liberal","Nor-Este","No","Me disgusta","Me gusta","Me gusta","Me gusta"
"17",17,"Ama de casa","Soltero",NA,NA,"4",39,"Marzo","Piscis",8,"Elemental",NA,"Elemental","Mujer","Negra","$5000-5999",NA,"Atlántico central","Ciudad > 250000",7072,"Republicano","No ha votado","Moderado",NA,"A Favor",NA,"Católico","Excitante","4","Completamenete de Acuerdo","En Contra","De Acuerdo","No","Menos de una vez a la semana",5,"Me disgusta",NA,"Me disgusta","No me gusta",NA,"Me disgusta","Me disgusta","Me gusta a ratos","Me disgusta","Me gusta","Me disgusta","No","No","Diariamente","Raramente","Nunca",NA,"Ninguno","Ninguna","En alquiler",NA,1954,"24,999 o menos","Sin Bachillerato","30-39","Moderado","Nor-Este","No","Me disgusta","Me gusta a ratos","Me gusta","Me disgusta"
"18",18,"A tiempo completo","Casado",22,9,"0",55,"Enero","Capricornio",15,"Medio","Medio","Elemental","Hombre","Otra","Rehusa","Rehusa","Atlántico central","Ciudad > 250000",7072,"Independiente","No elegible","Moderado",NA,NA,"En Contra","Otra",NA,"3","Completamente en Desacuerdo","En Contra","Completamente en Desacuerdo",NA,"Varios días a la semana",2,"Me gusta a ratos",NA,"No me gusta","Me disgusta","Me gusta a ratos",NA,"Me disgusta","Me disgusta","Me disgusta",NA,"Me disgusta","No","No","Varios días a la semana","Diariamente","Varios días a la semana","Completamente falso","1 Compañero","Una vez a la semana","En alquiler","64,8",1938,"60,000 o más","Sin Bachillerato","50+","Moderado","Nor-Este","Sí",NA,"Me disgusta",NA,"Me disgusta"
"19",19,"A tiempo completo","Casado",32,1,"1",55,"Septiembre","Libra",16,"Diploma universitario","Medio","Elemental","Mujer","Blanca","$75000+","$22500-24999","Atlántico central","Cinturón, Ciudad grande",29,"Demócrata Militante","Ha votado","Ligeramente liberal","En Contra","A Favor",NA,"Católico","Rutinaria","2","De Acuerdo","A Favor","En Desacuerdo","No","Diariamente",2,"Me gusta a ratos","Me gusta a ratos","Me gusta","No me gusta","Me gusta mucho","Me gusta mucho","Me gusta","No me gusta","Me gusta mucho","No me gusta","No me gusta","No","Sí","Varios días al mes","Diariamente","Diariamente","Probablemente cierto","1 Compañero","Una vez al mes","Casa propia","38,4",1938,"60,000 o más","Bachiller","50+","Tendencia liberal","Nor-Este","Sí","Me gusta","Me disgusta","Me disgusta","Me disgusta"
"20",20,"A tiempo completo","Casado",24,2,"2",34,"Abril","Tauro",16,"Diploma universitario","Elemental","Medio","Hombre","Blanca","$75000+","$75000+","Atlántico central","Cinturón, Ciudad grande",29,"Demócrata","Ha votado","Moderado","A Favor",NA,"A Favor","Católico",NA,"2","Completamenete de Acuerdo","A Favor","De Acuerdo","Sí","Diariamente",4,"Me gusta mucho","Me gusta a ratos","No me gusta","Me gusta mucho","Me gusta","Me gusta a ratos","No me gusta","Me gusta mucho","Me gusta a ratos","Me disgusta","Me disgusta","No","No","Varios días a la semana","Varios días a la semana","Varios días a la semana","Probablemente cierto","1 Compañero","2-3 veces a la semana","Casa propia","45,7",1959,"60,000 o más","Bachiller","30-39","Moderado","Nor-Este","Sí","Me gusta a ratos","Me gusta","Me disgusta","Me gusta"
"21",21,"Temporalmete desempleado","Casado",24,5,"2",36,"Junio","Géminis",14,"Bachillerato","Diploma universitario","Diploma universitario","Mujer","Blanca","$60000-74999","$25000-29999","Atlántico central","Cinturón, Ciudad grande",29,"Demócrata Militante","Ha votado","Ligeramente liberal","En Contra","A Favor",NA,"Católico","Rutinaria","1","En Desacuerdo","A Favor","Completamente en Desacuerdo","No","Diariamente",1,"Me gusta","Me gusta a ratos","Me gusta","Me gusta mucho","Me gusta","No me gusta","Me gusta a ratos","Me gusta a ratos","No me gusta","Me gusta a ratos","No me gusta","Sí","Sí","Raramente","Diariamente","Varios días al mes",NA,"1 Compañero","Una vez a la semana","Casa propia","73,2",1957,"60,000 o más","Sin Bachillerato","30-39","Tendencia liberal","Nor-Este","Sí","Me disgusta","Me gusta a ratos","Me gusta a ratos","Me gusta"
"22",22,"A tiempo parcial","Casado",23,0,"3",44,"Agosto","Leo",18,"Diploma universitario","Medio","Medio","Mujer","Blanca","$75000+","$40000-49999","Atlántico central","Cinturón, Ciudad grande",29,"Demócrata","Ha votado","Moderado",NA,"A Favor",NA,"Católico","Excitante","Tantos como se quiera","En Desacuerdo","A Favor",NA,"No","Diariamente",2,"Me disgusta","No me gusta","Me gusta a ratos","Me disgusta","Me gusta","No me gusta","Me gusta a ratos","Me disgusta","Me disgusta","Me disgusta","Me disgusta","No","Sí","Diariamente","Varios días al mes","Varios días a la semana","Probablemente falso","1 Compañero","Una vez a la semana","Casa propia","64,4",1949,"60,000 o más","Bachiller","40-49","Moderado","Nor-Este","Sí","Me disgusta","Me disgusta","Me disgusta","Me disgusta"
"23",23,"Retirado","Viudo",25,2,"2",80,"Mayo","Tauro",18,"Licenciado",NA,"Elemental","Hombre","Blanca","$40000-49999",NA,"Atlántico central","Cinturón, Ciudad grande",29,"Demócrata Militante","Ha votado","Decididamente liberal","En Contra",NA,"En Contra","Judío",NA,"3","Completamenete de Acuerdo","A Favor","Completamenete de Acuerdo","Sí","Diariamente",3,"Me gusta","Me gusta","Me gusta a ratos","Me gusta","Me gusta","Me gusta mucho","Me gusta mucho","Me gusta","Me gusta mucho","No me gusta","Me disgusta","No","Sí","Raramente","Diariamente","Diariamente","Completamente cierto","Ninguno","Ninguna","Casa propia","80,3",1913,"40,000 - 59,999","Bachiller","50+","Liberal","Nor-Este","No","Me gusta","Me gusta","Me disgusta","Me gusta"
"24",24,"A tiempo completo","Soltero",NA,5,"1",32,"Julio","Leo",16,"Diploma universitario","Diploma universitario","Diploma universitario","Hombre","Otra","$25000-29999","$15000-17499","Pacífico","Ciudad > 250000",2967,"Demócrata Militante","No elegible","Ligeramente liberal","En Contra",NA,"A Favor","Católico",NA,"4","De Acuerdo","A Favor","En Desacuerdo","Sí","Menos de una vez a la semana",3,NA,NA,"Me gusta","Me gusta","Me gusta a ratos","Me gusta","Me gusta","Me gusta","Me gusta a ratos","No me gusta","No me gusta","Sí","No","Diariamente","Diariamente","Raramente","Probablemente falso","1 Compañero","Una vez a la semana","En alquiler","63,5",1961,"25,000 - 39,999","Bachiller","30-39","Tendencia liberal","Oeste","No","Me gusta","Me gusta","Me disgusta","Me gusta"
"25",25,"A tiempo parcial","Casado",32,7,"4",37,"Septiembre","Virgo",5,"Elemental","Elemental","Elemental","Hombre","Otra","$20000-22499","$4000-4999","Pacífico","Ciudad > 250000",2967,"Demócrata Militante","Ha votado","Ligeramente conservador",NA,NA,"A Favor","Católico",NA,"3","Completamenete de Acuerdo","A Favor","En Desacuerdo",NA,"Una vez a la semana",2,"Me gusta a ratos",NA,"Me gusta mucho","No me gusta",NA,"Me gusta",NA,"Me gusta","Me gusta","Me gusta","No me gusta","Sí","No","Varios días a la semana","Diariamente","Raramente",NA,NA,NA,"En alquiler","27,5",1956,"24,999 o menos","Sin Bachillerato","30-39","Tendencia conservadora","Oeste","Sí","Me gusta","Me gusta","Me gusta","Me disgusta"
"26",27,"A tiempo completo","Casado",40,5,"0",49,"Septiembre","Virgo",16,"Diploma universitario","Diploma universitario","Diploma universitario","Mujer","Otra","$30000-34999","$25000-29999","Pacífico","Ciudad > 250000",2967,"Republicano Militante","Ha votado","Ligeramente conservador","A Favor",NA,"En Contra","Católico",NA,"3","De Acuerdo",NA,"En Desacuerdo","No","Una vez a la semana",3,"Me gusta a ratos","Me gusta a ratos","Me gusta","Me gusta","Me gusta","Me gusta","Me gusta","Me gusta","Me gusta","Me gusta a ratos","No me gusta","No","No","Varios días a la semana","Diariamente","Varios días a la semana","Probablemente cierto","1 Compañero","Una o dos veces","En alquiler","39",1944,"25,000 - 39,999","Bachiller","40-49","Tendencia conservadora","Oeste","Sí","Me gusta","Me gusta","Me gusta a ratos","Me gusta"
"27",28,"A tiempo completo","Divorciado",16,6,"2",45,"Noviembre","Sagitario",16,"Diploma universitario","Medio",NA,"Mujer","Otra","$60000-74999","$60000-74999","Pacífico","Ciudad > 250000",2967,"Demócrata","Ha votado","Ligeramente liberal","En Contra","A Favor",NA,"Católico","Rutinaria",NA,NA,NA,NA,NA,NA,2,NA,NA,"Me gusta a ratos","Me gusta","Me gusta","Me gusta","Me gusta a ratos","Me gusta mucho","Me gusta",NA,NA,"No","Sí","Varios días a la semana","Diariamente","Diariamente",NA,"1 Compañero","Una vez al mes",NA,"67",1948,"60,000 o más","Bachiller","40-49","Tendencia liberal","Oeste","No","Me gusta","Me gusta",NA,"Me gusta"
"28",29,"A tiempo completo","Soltero",NA,2,"0",36,"Abril","Tauro",18,"Diploma universitario","Medio","Licenciado","Mujer","Blanca","$30000-34999","$10000-12499","Pacífico","Ciudad > 250000",2967,"Demócrata Militante","Ha votado","Liberal","En Contra","A Favor","A Favor","Protestante","Rutinaria",NA,NA,NA,NA,NA,NA,2,"Me gusta","Me gusta","Me gusta a ratos","Me gusta","Me gusta","Me gusta mucho","Me gusta","Me gusta mucho","Me gusta mucho","Me gusta a ratos","Me gusta a ratos","Sí","Sí","Varios días a la semana","Varios días a la semana","Varios días al mes","Probablemente cierto","1 Compañero","2-3 veces a la semana",NA,"50,7",1957,"25,000 - 39,999","Bachiller","30-39","Liberal","Oeste","No","Me gusta","Me gusta","Me gusta a ratos","Me gusta"
"29",30,"A tiempo parcial","Soltero",NA,5,"0",23,"Marzo","Aries",16,"Medio",NA,"Diploma universitario","Mujer","Negra","$10000-12499","$5000-5999","Pacífico","Ciudad > 250000",2967,"Demócrata Militante","Ha votado","Liberal","En Contra",NA,"A Favor","Protestante",NA,"Tantos como se quiera","Completamenete de Acuerdo","A Favor","De Acuerdo","Sí","Menos de una vez a la semana",1,"Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","Me gusta mucho","Me gusta","Me gusta mucho","Me gusta","Me gusta mucho","Me gusta a ratos","Me gusta a ratos","Me gusta a ratos","No","Sí","Varios días al mes","Varios días a la semana","Raramente","Completamente cierto","3 Compañeros","2-3 veces al mes","En alquiler","36,7",1970,"24,999 o menos","Sin Bachillerato","18-29","Liberal","Oeste","No","Me gusta","Me gusta","Me gusta a ratos","Me gusta"
"30",31,"A tiempo completo","Soltero",NA,1,"0",29,"Mayo","Tauro",16,"Licenciado","Diploma universitario","Diploma universitario","Hombre","Blanca","$50000-59999","$50000-59999","Pacífico","Ciudad > 250000",2967,"Demócrata Militante","Ha votado","Liberal","En Contra","A Favor","En Contra","Protestante","Excitante",NA,NA,NA,NA,NA,NA,3,"Me gusta","Me gusta a ratos","Me gusta","Me gusta mucho","Me gusta","Me gusta","No me gusta","Me gusta mucho","Me gusta a ratos","Me disgusta","Me disgusta","Sí","Sí","Varios días al mes","Diariamente","Diariamente","Completamente cierto","1 Compañero","2-3 veces a la semana",NA,"92,3",1964,"40,000 - 59,999","Bachiller","18-29","Liberal","Oeste","No","Me gusta","Me gusta","Me disgusta","Me gusta"
"31",32,"A tiempo completo","Soltero",NA,3,"1",30,"Febrero","Acuario",14,"Bachillerato","Medio","Elemental","Mujer","Negra","$30000-34999","$30000-34999","Pacífico","Ciudad > 250000",7072,"Demócrata","Ha votado","Moderado","A Favor","A Favor",NA,"Protestante","Rutinaria","2","Completamenete de Acuerdo","A Favor","Completamenete de Acuerdo","Sí","Varios días a la semana",2,NA,NA,"Me gusta","Me gusta","No me gusta","No me gusta","No me gusta","Me gusta","Me gusta a ratos","No me gusta","Me gusta a ratos","No","No","Diariamente","Diariamente","Varios días a la semana","Completamente falso","1 Compañero","Una vez a la semana","En alquiler","51,9",1963,"25,000 - 39,999","Sin Bachillerato","30-39","Moderado","Oeste","No","Me disgusta","Me gusta","Me disgusta","Me gusta"
"32",33,"A tiempo completo","Soltero",NA,8,"1",40,"Julio","Cáncer",16,"Diploma universitario","Elemental","Medio","Mujer","Negra","$30000-34999","$30000-34999","Pacífico","Ciudad > 250000",2967,"Simpatizante Demócrata","Ha votado","Liberal","A Favor","En Contra","En Contra","Católico","Excitante",NA,NA,NA,NA,NA,NA,2,"Me gusta","Me gusta a ratos","Me gusta a ratos","Me gusta","Me gusta mucho","Me gusta mucho","Me gusta","Me gusta mucho","Me gusta mucho","Me gusta","Me gusta","No","Sí","Varios días a la semana","Varios días a la semana","Diariamente","Completamente cierto","1 Compañero","2-3 veces a la semana",NA,"50,5",1953,"25,000 - 39,999","Bachiller","40-49","Liberal","Oeste","No","Me gusta","Me gusta","Me gusta","Me gusta"
"33",34,"A tiempo completo","Soltero",NA,8,"2",26,"Agosto","Virgo",11,"Elemental","Medio","Medio","Mujer","Blanca","$30000-34999","$15000-17499","Pacífico","Suburbio, Ciudad grande",31,"Republicano","No ha votado","Conservador",NA,NA,NA,"Protestante",NA,"4","De Acuerdo","A Favor","En Desacuerdo","Sí","Menos de una vez a la semana",1,"Me gusta","Me gusta","Me gusta a ratos","Me gusta","No me gusta","Me disgusta","No me gusta","No me gusta","Me disgusta","Me disgusta","Me gusta a ratos","Sí","No","Varios días a la semana","Varios días a la semana","Varios días al mes","Completamente falso","1 Compañero","2-3 veces al mes","En alquiler","36,5",1967,"25,000 - 39,999","Sin Bachillerato","18-29","Conservador","Oeste","No","Me disgusta","Me disgusta","Me disgusta","Me gusta"
"34",35,"Retirado","Casado",21,3,"4",66,"Febrero","Piscis",12,"Medio","Elemental","Elemental","Hombre","Blanca","$75000+",NA,"Pacífico","Suburbio, Ciudad grande",31,"Demócrata Militante","Ha votado","Ligeramente conservador","A Favor",NA,"En Contra","Ninguna",NA,"2","Completamente en Desacuerdo","A Favor","Completamenete de Acuerdo","Sí","Diariamente",3,"Me gusta mucho","Me gusta a ratos","No me gusta","Me gusta","Me disgusta","Me gusta a ratos","No me gusta","Me gusta mucho","Me disgusta","Me disgusta","Me disgusta","No","Sí","Diariamente","Diariamente","Varios días a la semana","Completamente cierto","1 Compañero","4+ veces a la semana","Casa propia","32,7",1927,"60,000 o más","Sin Bachillerato","50+","Tendencia conservadora","Oeste","Sí","Me gusta a ratos","Me gusta","Me disgusta","Me gusta"
