"país","poblac","densidad","urbana","relig","espvidaf","espvidam","alfabet","inc_pob","mortinf","pib_cap","región","calorías","sida","tasa_nat","tasa_mor","tasasida","log_pib","logtsida","nac_def","fertilid","log_pob","cregrano","alfabmas","alfabfem","clima"
"Cuba","11.100","99,0",74,"Católica",78,74,94,1,10.2,"1.382",6,"","245",17,7,2.21,3.14,1.17,2.43,1.9,4.05,23,95,93,5
"Chile","14.000","18,0",85,"Católica",78,71,93,1.7,14.6,"2.591",6,"2.581","831",23,6,5.94,3.41,1.43,3.83,2.5,4.15,7,94,93,8
"China","1.205.200","124,0",26,"Taoista",69,67,78,1.1,52,"377",3,"2.639","38",21,7,0,2.58,0.32,3,1.8,6.08,10,87,68,8
"Dinamarca","5.200","120,0",85,"Protest.",79,73,99,0.1,6.6,"18.277",1,"3.628","1.411",12,12,27.13,4.26,1.94,1,1.7,3.72,61,NA,NA,8
"Ecuador","10.700","39,0",56,"Católica",73,67,88,2,39,"1.085",6,"2.531","381",26,6,3.37,3.04,1.28,4.33,3.1,4.03,6,90,86,5
"Egipto","60.000","57,0",44,"Musulma.",63,60,48,2,76.4,"748",5,"3.336","91",29,9,0.15,2.87,0.69,3.22,3.8,4.78,3,63,34,1
"El Salvador","5.800","246,0",44,"Católica",69,64,73,2,41,"1.078",6,"2.317","530",33,7,9.64,3.03,1.57,4.71,3.8,3.76,27,76,70,5
"Emiratos Árabes","2.800","32,0",81,"Musulma.",74,70,68,4.8,22,"14.193",5,"","8",28,3,0.47,4.15,0.86,9.33,4.5,3.45,0,70,63,1
"España","39.200","77,0",78,"Católica",81,74,95,0.3,6.9,"13.047",1,"3.572","24.202",11,9,61.74,4.12,2.28,1.22,1.4,4.59,31,97,93,8
"Estados Unidos","260.800","26,0",75,"Protest.",79,73,97,1,8.1,"23.474",1,"3.671","411.907",15,9,157.94,4.37,2.75,1.67,2.1,5.42,20,97,97,8
"Estonia","1.600","36,0",72,"Protest.",76,67,99,0.5,19,"6.000",2,"","3",14,12,0.19,3.78,0.72,1.17,2,3.2,22,100,100,7
"Etiopía","55.200","47,0",12,"Musulma.",54,51,24,3.1,110,"122",4,"1.667","12.958",45,14,23.47,2.09,1.88,3.21,6.8,4.74,12,32,16,5
"Filipinas","69.800","221,0",43,"Católica",68,63,90,1.9,51,"867",3,"2.375","136",27,7,0.2,2.94,0.72,3.86,3.4,4.84,26,90,90,5
"Finlandia","5.100","39,0",60,"Protest.",80,72,100,0.3,5.3,"15.877",1,"3.253","158",13,10,3.1,4.2,1.25,1.3,1.8,3.71,8,NA,NA,9
"Francia","58.000","105,0",73,"Católica",82,74,99,0.5,6.7,"18.944",1,"3.465","30.003",13,9,51.73,4.28,2.2,1.4,1.8,4.76,32,NA,NA,8
"Gabón","1.300","4,2",46,"Católica",58,52,61,1.5,94,"4.283",4,"2.383","472",28,14,36.31,3.63,2.05,2,4,3.11,1,74,48,5
"Gambia","959","86,0",23,"Musulma.",52,48,27,3.1,124,"351",4,"","277",46,16,25.18,2.55,1.91,2.88,6.3,2.98,16,39,16,5
"Georgia","5.500","81,0",56,"Ortodoxa",76,69,99,0.8,23,"4.500",2,"","2",16,9,0.04,3.65,0.52,1.78,2.2,3.74,NA,100,100,6
"Gran Bretaña","58.400","237,0",89,"Protest.",80,74,99,0.2,7.2,"15.974",1,"3.149","9.025",13,11,15.45,4.2,1.73,1.18,1.8,4.77,29,NA,NA,8
"Grecia","10.400","80,0",63,"Ortodoxa",80,75,93,0.8,8.2,"8.060",1,"3.825","916",10,10,8.81,3.91,1.55,1,1.5,4.02,23,98,89,8
"Guatemala","10.300","97,0",39,"Católica",67,62,55,2.6,57,"1.342",6,"2.235","499",35,8,4.84,3.13,1.37,4.38,4.8,4.01,12,63,47,5
"Haití","6.500","231,0",29,"Católica",47,43,53,1.6,109,"383",6,"2.013","4.987",40,19,71.24,2.58,2.35,2.11,5.9,3.81,20,59,47,5
"Honduras","5.600","46,0",44,"Católica",70,65,73,2.7,45,"1.030",6,"2.247","3.473",35,6,62.02,3.01,2.28,5.83,4.9,3.75,14,76,71,4
"Hong Kong","5.800","5.494,0",94,"Budista",80,75,77,-0.1,5.8,"14.641",3,"","99",13,6,1.71,4.17,1.11,2.17,1.4,3.76,7,90,64,5
"Hungía","10.500","111,0",64,"Católica",76,67,99,-0.3,12.5,"5.249",2,"3.644","149",12,13,1.42,3.72,1.07,0.92,1.8,4.02,51,99,98,8
"India","911.600","283,0",26,"Indú",59,58,52,1.9,79,"275",3,"2.229","713",29,10,0.08,2.44,0.6,2.9,4.5,5.96,55,64,39,6
"Indonesia","199.700","102,0",29,"Musulma.",65,61,77,1.6,68,"681",3,"2.750","49",24,9,0.02,2.83,0.48,2.67,2.8,5.3,8,84,68,5
"Irán","65.600","39,0",57,"Musulma.",67,65,54,3.5,60,"1.500",5,"3.181","92",42,8,0.15,3.18,0.68,5.25,6.3,4.82,8,64,43,2
"Iraq","19.900","44,0",72,"Musulma.",68,65,60,3.7,67,"1.955",5,"2.887","26",44,7,0.13,3.29,0.67,6.29,6.7,4.3,12,70,49,1
"Irlanda","3.600","51,0",57,"Católica",78,73,98,0.3,7.4,"12.170",1,"3.778","392",14,9,10.89,4.09,1.61,1.56,2,3.56,14,NA,NA,8
"Islandia","263","2,5",91,"Protest.",81,76,100,1.1,4,"17.241",1,"","31",16,7,10.33,4.24,1.6,2.29,2.1,2.42,1,NA,NA,8
"Israel","5.400","238,0",92,"Judía",80,76,92,2.2,8.6,"13.066",5,"","279",21,7,5.17,4.12,1.39,3,2.8,3.73,17,95,89,8
"Italia","58.100","188,0",69,"Católica",81,74,97,0.2,7.6,"17.500",1,"3.504","21.770",11,10,38.06,4.24,2.07,1.1,1.3,4.76,32,98,96,6
"Japón","125.500","330,0",77,"Budista",82,76,99,0.3,4.4,"19.860",3,"2.956","713",11,7,0.57,4.3,0.89,1.57,1.6,5.1,13,NA,NA,6
"Jordania","3.961","42,0",68,"Musulma.",74,70,80,3.3,34,"1.157",5,"2.634","31",39,5,0.7,3.06,0.93,7.8,5.6,3.6,4,89,70,2
"Kenia","28.200","49,0",24,"Católica",55,51,69,3.1,74,"323",4,"2.163","30.126",42,11,111.58,2.51,2.57,3.82,5.9,4.45,3,80,58,4
"Kuwait","1.800","97,0",96,"Musulma.",78,73,73,5.2,12.5,"6.818",5,"3.195","10",28,2,0.56,3.83,0.89,14,4,3.26,0,77,67,2
"Letonia","2.700","40,0",71,"Protest.",75,64,99,0.5,21.5,"7.400",2,"","8",14,12,0.3,3.87,0.78,1.17,2,3.43,27,100,100,7
"Líbano","3.620","343,0",84,"Musulma.",71,67,80,2,39.5,"1.429",5,"","72",27,7,2.48,3.16,1.2,3.86,3.4,3.56,21,88,73,6
"Liberia","2.900","29,0",45,"Animista",57,54,40,3.3,113,"409",4,"2.382","191",43,12,6.59,2.61,1.46,3.58,6.8,3.46,1,50,29,5
"Libia","5.500","2,8",82,"Musulma.",65,62,64,3.7,63,"5.910",5,"3.324","10",45,8,0.18,3.77,0.71,5.63,6.4,3.74,2,75,50,6
"Lituania","3.800","58,0",69,"Católica",77,68,99,0.3,17,"6.710",2,"","5",15,10,0.13,3.83,0.67,1.5,2,3.58,49,99,98,7
"Malasia","19.500","58,0",43,"Musulma.",72,66,78,2.3,25.6,"2.995",3,"2.774","107",29,5,0.55,3.48,0.89,5.8,3.5,4.29,3,86,70,5
"Marruecos","28.600","63,0",46,"Musulma.",70,66,50,2.1,50,"1.062",4,"","196",29,6,0.69,3.03,0.93,4.83,3.8,4.46,18,61,38,6
"México","91.800","46,0",73,"Católica",77,69,87,1.9,35,"3.604",6,"3.052","18.353",28,5,19.99,3.56,1.82,5.6,3.2,4.96,12,90,85,3
"Nicaragua","4.100","33,0",60,"Católica",67,61,57,2.7,52.5,"447",6,"2.265","66",35,7,1.53,2.65,1.09,5,4.3,3.61,9,57,57,5
"Nigeria","98.100","102,0",35,"Musulma.",57,54,51,3.1,75,"282",4,"2.312","1.148",44,12,0.96,2.45,0.99,3.67,6.4,4.99,31,62,40,5
"Noruega","4.300","11,0",75,"Protest.",81,74,99,0.4,6.3,"17.755",1,"3.326","375",13,10,8.72,4.25,1.54,1.3,2,3.63,3,NA,NA,8
"Nueva Zelanda","3.524","13,0",84,"Protest.",80,73,99,0.6,8.9,"14.381",1,"3.362","431",16,8,12.23,4.16,1.65,2,2,3.55,2,NA,NA,8
"Omán","1.900","7,8",11,"Musulma.",70,66,NA,3.5,36.7,"7.467",5,"","33",40,5,1.74,3.87,1.12,8,6.5,3.28,2,NA,NA,1
"Países Bajos","15.400","366,0",89,"Católica",81,75,99,0.6,6.3,"17.245",1,"3.151","3.055",13,9,19.84,4.24,1.82,1.44,1.6,4.19,26,NA,NA,8
"Pakistán","128.100","143,0",32,"Musulma.",58,57,35,2.8,101,"406",3,"","41",42,10,0.03,2.61,0.5,4.2,6.4,5.11,26,47,21,8
"Panamá","2.600","34,0",53,"Católica",78,71,88,1.9,16.5,"2.397",6,"2.539","644",25,5,24.77,3.38,1.9,5,2.9,3.41,6,88,88,5
"Paraguay","5.200","11,0",48,"Católica",75,72,90,2.7,25.2,"1.500",6,"2.757","77",33,5,1.6,3.18,1.1,7.33,4.3,3.72,20,92,88,6
"Perú","23.650","18,0",70,"Católica",67,63,85,2,54,"1.107",6,"2.186","1.068",26,7,4.66,3.04,1.36,3.71,3.1,4.37,3,92,79,3
"Polonia","38.600","123,0",62,"Católica",77,69,99,0.3,13.8,"4.429",2,"","201",14,10,0.52,3.65,0.88,1.4,1.9,4.59,46,99,98,8
"Portugal","10.500","108,0",34,"Católica",78,71,85,0.4,9.2,"9.000",1,"","1.811",12,10,18.29,3.95,1.79,1.2,1.5,4.02,32,89,82,7
"Rep. C. Africana","3.300","5,0",47,"Protest.",44,41,27,2.4,137,"457",4,"2.036","3.730",44,21,113.03,2.66,2.57,2.1,5.4,3.52,3,33,15,5
"Rep. Checa","10.400","132,0",NA,"Católica",77,69,NA,0.2,9.3,"7.311",2,"3.632","48",13,11,0.46,3.86,0.86,1.17,1.8,4.02,NA,NA,NA,8
"Rep. Dominicana","7.800","159,0",60,"Católica",70,66,83,1.8,51.5,"1.034",6,"2.359","2.353",25,6,30.17,3.01,1.98,4.17,2.8,3.89,23,85,82,5
"Ruanda","8.400","311,0",6,"Católica",46,43,50,2.8,117,"292",4,"1.971","10.706",49,21,137.26,2.47,2.68,2.33,8.2,3.92,29,64,37,8
"Rumanía","23.400","96,0",54,"Ortodoxa",75,69,96,0.1,20.3,"2.702",2,"3.155","2.736",14,10,11.69,3.43,1.64,1.4,1.8,4.37,43,NA,NA,8
"Rusia","149.200","8,8",74,"Ortodoxa",74,64,99,0.2,27,"6.680",2,"","136",13,11,0.09,3.82,0.62,1.18,1.8,5.17,8,100,100,9
"Senegal","8.700","43,0",40,"Musulma.",58,55,38,3.1,76,"744",4,"2.369","911",43,12,11.11,2.87,1.62,3.58,6.1,3.94,27,52,25,5
"Singapur","2.900","4.456,0",100,"Taoista",79,73,88,1.2,5.7,"14.990",3,"3.198","75",16,6,2.59,4.18,1.21,2.67,1.9,3.46,4,93,84,5
"Siria","14.900","74,0",50,"Musulma.",68,65,64,3.7,43,"2.436",5,"","26",44,6,0.19,3.39,0.71,7.33,6.7,4.17,28,78,51,1
"Somalia","6.667","10,0",24,"Musulma.",55,54,24,3.2,126,"2.126",4,"1.906","13",46,13,0.13,3.33,0.67,3.54,7.3,3.82,2,36,14,1
"Sudáfrica","43.900","35,0",49," ",68,62,76,2.6,47.1,"3.128",4,"","3.210",34,8,7.79,3.5,1.51,4.25,4.4,4.64,10,NA,NA,2
"Suecia","8.800","19,0",84,"Protest.",81,75,99,0.5,5.7,"16.900",1,"2.960","1.001",14,11,11.38,4.23,1.63,1.27,2.1,3.94,7,NA,NA,9
"Suiza","7.000","170,0",62,"Católica",82,75,99,0.7,6.2,"22.384",1,"3.562","3.662",12,9,52.31,4.35,2.21,1.33,1.6,3.85,10,NA,NA,8
"Tailandia","59.400","115,0",22,"Budista",72,65,93,1.4,37,"1.800",3,"2.316","5.654",19,6,9.52,3.26,1.57,3.17,2.1,4.77,34,96,90,5
"Taiwan","20.944","582,0",71,"Budista",78,72,91,0.9,5.1,"7.055",3,"","",15.6,NA,NA,3.85,NA,NA,NA,4.32,NA,NA,NA,NA
"Tanzania","29.800","29,0",21,"Animista",45,41,46,2.5,110,"263",4,"2.206","38.719",46,19,129.93,2.42,2.65,2.42,6.2,4.47,5,62,31,6
"Turquía","62.200","79,0",61,"Musulma.",73,69,81,2,49,"3.721",5,"3.236","130",26,6,0.21,3.57,0.73,4.33,3.2,4.79,30,90,71,8
"Ucrania","51.800","87,0",67,"Ortodoxa",75,65,97,0.1,20.7,"2.340",2,"","27",12,13,0.05,3.37,0.55,0.92,1.8,4.71,56,100,100,8
"Uganda","19.800","76,0",11,"Católica",43,41,48,2.4,112,"325",4,"2.153","43.875",49,24,221.59,2.51,2.95,2.04,6.8,4.3,23,62,35,5
"Uruguay","3.200","18,0",89,"Católica",77,71,96,0.8,17,"3.131",6,"2.653","469",17,10,14.66,3.5,1.71,1.7,2.4,3.51,8,97,96,8
"Uzbekistán","22.600","50,0",41,"Musulma.",72,65,97,2.1,53,"1.350",5,"","2",30,7,0.01,3.13,0.39,4.29,3.7,4.35,10,100,100,2
"Venezuela","20.600","22,0",91,"Católica",76,70,88,2.2,28,"2.829",6,"2.582","3.511",26,5,16.48,3.45,1.75,5.2,3.1,4.31,3,90,87,5
"Vietnam","73.100","218,0",20,"Budista",68,63,88,1.8,46,"230",3,"2.233","107",27,8,0.15,2.36,0.68,3.38,3.3,4.86,22,93,83,5
"Zambia","9.100","11,0",42,"Protest.",45,44,73,2.8,85,"573",4,"2.077","29.734",46,18,326.75,2.76,3.18,2.56,6.7,3.96,7,81,65,5
